epoch,acc,loss,val_acc,val_loss
0,0.21128125,3.944926431179047,0.33132812,2.960442988872528
1,0.4555469,2.4215140780210493,0.50828123,2.046853394508362
2,0.5478985,1.9348806211948395,0.55929685,1.857834565639496
3,0.59442973,1.696717886686325,0.596875,1.678373259305954
4,0.6217266,1.5672072151899337,0.63203126,1.4968188047409057
5,0.6394141,1.4775684833526612,0.65273434,1.3957292532920837
6,0.65307814,1.4137583013176918,0.64773434,1.4323098462820054
7,0.6648516,1.3685436188578606,0.6759375,1.303770392537117
8,0.67288285,1.3245902435183525,0.6797656,1.2729474484920502
9,0.6812344,1.2861187329888344,0.6715625,1.331056928038597
10,0.68537503,1.2682617261409759,0.68,1.296655153632164
11,0.6908985,1.2463855438828468,0.703125,1.1823127806186675
12,0.69544536,1.2258241413235664,0.69453126,1.228259488940239
13,0.70268756,1.1942883034944534,0.68640625,1.2321223211288452
14,0.7081485,1.1724130470752716,0.69921875,1.2263667511940002
15,0.7086641,1.1648478031158447,0.70406246,1.1905608814954758
16,0.7140703,1.140491547703743,0.7104687,1.1530897480249405
17,0.7117032,1.1467335281968116,0.72046876,1.0844995415210723
18,0.71839845,1.1227637140154838,0.710625,1.1566614931821824
19,0.7220313,1.112548896431923,0.7215625,1.1417659252882004
