epoch,acc,loss,val_acc,val_loss
0,0.717745,1.130868381500244,0.71415,1.1389704924821853
1,0.721335,1.107870661854744,0.71454996,1.1697922211885452
2,0.72143996,1.114083070397377,0.7229,1.1023924160003662
3,0.72382,1.101700214087963,0.7287,1.077114554643631
0,0.216655,3.967700350522995,0.3689,2.8010865330696104
1,0.46069998,2.403917568564415,0.52225,2.009105217456818
2,0.54969996,1.93047429394722,0.5775,1.7577764916419982
3,0.59487,1.6995927305221559,0.61965,1.5600594675540924
4,0.620425,1.571357792019844,0.63624996,1.4670179986953735
5,0.639245,1.4833039125204086,0.64849997,1.4166148710250854
6,0.65423,1.4112658250331878,0.6746,1.3272359716892241
7,0.663445,1.3663220203518867,0.64669997,1.44128653883934
8,0.67238,1.329395409822464,0.68264997,1.2771422231197358
9,0.679845,1.2945486032962799,0.67815,1.304420914053917
10,0.687145,1.2647402411103248,0.6796,1.2767606943845748
11,0.69278497,1.2363294196128845,0.69505,1.2369741684198379
12,0.69761497,1.216537544131279,0.70594996,1.1668947130441665
13,0.70169497,1.2028262266516685,0.70094997,1.1928540802001952
14,0.702285,1.1923542979359627,0.6958,1.217543002963066
15,0.70754,1.1727356435656549,0.71545,1.1362409734725951
16,0.710835,1.1591490197181702,0.72349995,1.1094208252429962
17,0.71489996,1.1382521812915802,0.72099996,1.1155931389331817
18,0.71667,1.1305451599359513,0.71384996,1.1289584940671922
19,0.719475,1.1218626891374588,0.72525,1.1121127218008042
