epoch,acc,loss,lr,val_acc,val_loss
0,0.2956882347747245,3.2695481470051933,0.001,0.32985000014305116,3.0095423650741577
1,0.5487647048515432,1.8669394445419312,0.001,0.5206999951601028,2.0488395214080812
2,0.608917646723635,1.590127206549925,0.001,0.568999997973442,1.8013474977016448
3,0.6380117642879486,1.4624753974465763,0.001,0.6012000006437301,1.618289291858673
4,0.6571058818873237,1.3737580045531779,0.001,0.6389000022411346,1.4545843172073365
5,0.6701647056551541,1.3196951001531938,0.001,0.6660500001907349,1.3522412407398223
6,0.6806058826867272,1.2785845557381126,0.001,0.6704999989271164,1.3222179317474365
7,0.6893352951722986,1.2389982777483324,0.001,0.6665999960899353,1.3127241867780686
8,0.6965000015146592,1.2068831949374255,0.001,0.6709999996423721,1.3118936610221863
9,0.7186705885213964,1.1186960026797126,0.0005,0.7189500039815903,1.1141660767793655
10,0.7254294128277723,1.0863494030167076,0.0005,0.7174000006914139,1.1138575100898742
11,0.7278470594742719,1.0805586601706112,0.0005,0.7266499996185303,1.073783159852028
12,0.7331470597491545,1.0566883146061616,0.0005,0.7245999997854233,1.0951021176576614
13,0.7335294119750753,1.0596359332870036,0.0005,0.731800000667572,1.0792552047967912
14,0.7362058824651382,1.0419347063934101,0.0005,0.7294999992847443,1.063705456852913
15,0.7394176464221057,1.0294477097427144,0.0005,0.7347000026702881,1.0414172911643982
16,0.7410117654940661,1.0219794652041267,0.0005,0.7325000005960465,1.0510206735134124
17,0.7508058827764847,0.9936085263420554,0.00025,0.748299999833107,1.001473781466484
18,0.752723528918098,0.9703536019605749,0.00025,0.7539499986171723,0.9591819578409195
19,0.7535588230105007,0.9743595535614912,0.00025,0.7556000006198883,0.9614472270011902
20,0.7561764691857731,0.9586334226411931,0.00025,0.7595499992370606,0.9403424859046936
21,0.75775882173987,0.9555123350900763,0.00025,0.7598999977111817,0.9566920536756516
22,0.7607588219642639,0.9422763074846828,0.00025,0.7613999974727631,0.9520758593082428
23,0.7621941176582785,0.9332767708161298,0.00025,0.7614499986171722,0.9418545681238174
24,0.7693352927881129,0.906288851850173,0.000125,0.7596000003814697,0.9335846835374833
25,0.7715470591012169,0.901385067210478,0.000125,0.7616000008583069,0.9417482304573059
26,0.7728941162193522,0.8911118202349719,0.000125,0.7682499998807907,0.9228123259544373
27,0.7750764705153073,0.8805076044447282,0.000125,0.7655499964952469,0.9231606215238571
28,0.7801470588235294,0.862411052830079,0.000125,0.7665500009059906,0.9049443340301514
29,0.7747705874022316,0.8884310537927291,0.000125,0.7705000001192093,0.9115094095468521
30,0.7784470579904669,0.8655250077387866,6.25e-05,0.7724500000476837,0.9136042612791061
31,0.7813352939661812,0.8608995831713957,6.25e-05,0.7765999990701675,0.8805977022647857
32,0.7842882347106933,0.8422523496431463,6.25e-05,0.7706999969482422,0.9031248420476914
33,0.7854235287974862,0.8481532407508177,6.25e-05,0.7688999986648559,0.9107787102460861
34,0.7884529407585369,0.8322546716297374,6.25e-05,0.772849999666214,0.9091458016633988
35,0.7918823517771328,0.8186264987552867,3.125e-05,0.7721499967575073,0.8909294831752778
36,0.7931470592582927,0.8106449032531066,3.125e-05,0.774549999833107,0.8856011539697647
37,0.7835235280850354,0.8529891232883229,3.125e-05,0.7778499990701675,0.8726353937387467
38,0.7859411762742435,0.836985188442118,3.125e-05,0.7744499963521957,0.9076260888576507
39,0.7864058816432953,0.8406739582734949,3.125e-05,0.7782000035047532,0.8783954298496246
40,0.7886764696065117,0.8278521618772956,1.5625e-05,0.7795499968528747,0.873729853630066
41,0.7895647060169894,0.8242645849199856,1.5625e-05,0.7714999973773956,0.8958462822437286
42,0.7935411754075219,0.8110359494125142,1.5625e-05,0.7738000005483627,0.8955175316333771
43,0.7952705874162562,0.800717039774446,1.5625e-05,0.7761500024795532,0.8824670070409775
44,0.7898999984825359,0.8248741869716083,1.5625e-05,0.7730000007152558,0.8915999162197114
45,0.7901235289433424,0.8232827198505401,7.8125e-06,0.7769999986886978,0.8750104945898056
46,0.7926294126931359,0.8129237874115215,7.8125e-06,0.7768500000238419,0.8849651575088501
47,0.7937411759881412,0.8034912745391621,7.8125e-06,0.7784000021219254,0.8851838392019272
48,0.8002352941036225,0.784365010471905,7.8125e-06,0.7817999994754792,0.8644309329986573
49,0.7956588225504931,0.8065131379225675,7.8125e-06,0.773799998164177,0.8809514456987381
